"id","species","total length","full weight","empty weight","sex","maturity","gonad weight","liver weight","catch"
1,"dab",185,68,62,1,"NA","NA",0.5,3
2,"dab",265,232,210,1,"NA","NA",3.5,3
3,"dab",275,230,210,1,"NA","NA",3.3,3
4,"dab",230,128,122,1,"NA","NA",1.4,3
5,"dab",275,232,218,1,"NA","NA",3.2,3
6,"dab",200,110,102,2,"NA","NA",2.3,3
7,"dab",255,184,174,1,"NA","NA",1.8,3
8,"dab",230,174,128,2,"NA","NA",2.8,3
9,"dab",220,130,118,1,"NA","NA",1.9,3
10,"dab",210,86,78,1,"NA","NA",1,3
11,"dab",355,586,544,2,"NA","NA",15.5,3
12,"dab",280,230,218,1,"NA","NA",3.1,3
13,"dab",290,248,234,1,"NA","NA",4.2,3
14,"dab",270,208,194,1,"NA","NA",2.4,3
15,"dab",225,124,114,1,"NA","NA",1.5,3
16,"dab",230,142,130,2,"NA","NA",3,3
17,"dab",210,92,86,1,"NA","NA",1,3
18,"dab",215,104,96,1,"NA","NA",1.2,3
19,"dab",220,134,124,2,"NA","NA",2.6,3
20,"dab",220,106,98,1,"NA","NA",1.3,3
21,"dab",200,80,74,1,"NA","NA",1,3
22,"dab",215,112,100,1,"NA","NA",1.7,3
23,"dab",215,90,84,1,"NA","NA",0.7,3
24,"dab",200,106,96,2,"NA","NA",2.5,3
25,"dab",225,110,102,1,"NA","NA",1.7,3
26,"dab",180,68,64,1,"NA","NA",0.7,3
27,"dab",183,70,64,1,"NA","NA",0.5,3
28,"dab",290,302,234,2,"NA","NA",3.3,3
29,"dab",220,134,122,2,"NA","NA",1.9,3
30,"dab",230,136,126,1,"NA","NA",0.7,3
31,"dab",190,84,76,1,"NA","NA",1.8,3
32,"dab",255,194,184,1,"NA","NA",1.9,3
33,"dab",250,136,132,1,"NA","NA",1.7,3
34,"dab",210,102,96,2,"NA","NA",0.6,3
35,"dab",195,72,68,1,"NA","NA",0.4,3
36,"dab",200,94,86,1,"NA","NA",0.9,3
37,"dab",185,84,78,1,"NA","NA",0.2,3
38,"dab",210,118,112,1,"NA","NA",1.9,3
39,"dab",190,76,70,1,"NA","NA",0.7,3
40,"dab",220,112,104,2,"NA","NA",1,3
41,"dab",180,62,58,1,"NA","NA",0.9,3
42,"dab",210,128,96,1,"NA","NA",1.1,3
43,"dab",215,122,112,2,"NA","NA",1,3
44,"dab",175,62,56,1,"NA","NA",0.7,3
45,"dab",80,6,6,1,"NA","NA","NA",3
46,"dab",200,80,76,2,"NA","NA","NA",3
47,"dab",155,40,34,1,"NA","NA",0.8,3
48,"dab",200,84,76,1,"NA","NA",1.2,3
49,"dab",190,74,68,1,"NA","NA",1.2,3
50,"dab",160,36,34,1,"NA","NA",0.5,3
51,"dab",175,52,48,1,"NA","NA",0.6,3
