"Date","Vessel","Station","Lat","Lon","Pressure [db]","Conductivity [mS/cm]","Temperature [°C]","Salinity [PSU]","Oxygen Saturation [ml/l]"
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,2,17.143576,18.5247,11.6869,6.10239
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,2.25,17.063777,18.5601,11.6168,6.1006
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,2.5,17.222569,18.5001,11.7531,6.10298
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,2.75,17.31916,18.4944,11.8263,6.10101
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,3,17.395189,18.5,11.881,6.09832
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,3.25,17.422542,18.5036,11.8997,6.09724
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,3.5,17.456628,18.5077,11.9264,6.09571
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,3.75,17.506117,18.5113,11.9581,6.09418
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,4,17.57694,18.5169,12.012,6.09147
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,4.25,17.73355,18.5189,12.1237,6.08716
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,4.5,18.153612,18.4486,12.462,6.08358
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,4.75,18.521977,18.4829,12.7255,6.06971
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,5,18.657316,18.4753,12.8293,6.06689
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,5.25,18.873098,18.4506,12.9991,6.06372
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,5.5,19.072718,18.4204,13.159,6.06159
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,5.75,19.117157,18.3895,13.2027,6.06373
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,6,19.146002,18.3414,13.2405,6.06817
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,6.25,19.223697,18.2671,13.3243,6.07414
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,6.5,19.237181,18.2556,13.3381,6.07503
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,6.75,19.330099,18.236,13.4147,6.07463
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,7,19.401824,18.193,13.4834,6.07734
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,7.25,19.458955,18.1253,13.5501,6.08324
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,7.5,19.495932,18.1053,13.5843,6.08434
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,7.75,19.508792,18.0542,13.6115,6.08957
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,8,19.505101,18.0127,13.6228,6.09421
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,8.25,19.497958,17.9791,13.6287,6.09813
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,8.5,19.490383,17.9582,13.6298,6.10068
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,8.75,19.487522,17.9488,13.6307,6.10174
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,9,19.479718,17.9039,13.6396,6.10681
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,9.25,19.479106,17.8869,13.6447,6.10885
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,9.5,19.482922,17.8809,13.649,6.10939
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,9.75,19.483907,17.8796,13.6507,6.10964
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,10,19.494793,17.856,13.6656,6.11176
" 11:52:55 31-JUL-10 ","Penck","Fehmarn",5433.982,1119.361,10.25,19.53339,17.8193,13.7102,6.1145
