"species","regime","depth","atom13C"
"Lobophora variegata","N1",5,"NA"
"Dictyota pinnatifida","N1",5,1.469
"Halimeda opuntia","N1",5,1.231
"Turfalgae","N1",5,1.345
"Fluffy balls","N1",5,1.231
"Red hairy","N1",5,1.498
"Black balls","N1",5,1.452
"Brown mat","N1",5,1.344
"Poritis asteriodes","N1",5,1.176
"Madracis mirabilis","N1",5,1.468
"Aka","N1",5,1.089
"CCA","N1",5,1.152
"Lobophora variegata","N2",5,"NA"
"Dictyota pinnatifida","N2",5,1.44
"Halimeda opuntia","N2",5,1.221
"Turfalgae","N2",5,1.258
"Fluffy balls","N2",5,1.311
"Red hairy","N2",5,1.531
"Black balls","N2",5,1.373
"Brown mat","N2",5,"NA"
"Poritis asteriodes","N2",5,1.214
"Madracis mirabilis","N2",5,1.439
"Aka","N2",5,1.093
"CCA","N2",5,1.152
"Lobophora variegata","N3",5,"NA"
"Dictyota pinnatifida","N3",5,1.491
"Halimeda opuntia","N3",5,1.184
"Turfalgae","N3",5,1.311
"Fluffy balls","N3",5,1.229
"Red hairy","N3",5,1.527
"Black balls","N3",5,1.36
"Brown mat","N3",5,"NA"
"Poritis asteriodes","N3",5,1.153
"Madracis mirabilis","N3",5,1.327
"Aka","N3",5,1.088
"CCA","N3",5,1.148
"Lobophora variegata","C",5,"NA"
"Dictyota pinnatifida","C",5,1.092
"Halimeda opuntia","C",5,1.086
"Turfalgae","C",5,1.095
"Fluffy balls","C",5,1.093
"Red hairy","C",5,1.11
"Black balls","C",5,1.095
"Brown mat","C",5,"NA"
"Poritis asteriodes","C",5,1.086
"Madracis mirabilis","C",5,1.092
"Aka","C",5,1.084
"CCA","C",5,1.093
"Lobophora variegata","N1",5,"NA"
"Dictyota pinnatifida","N1",5,1.418
"Halimeda opuntia","N1",5,1.192
"Turfalgae","N1",5,1.372
"Fluffy balls","N1",5,1.34
"Red hairy","N1",5,1.446
"Black balls","N1",5,1.257
"Brown mat","N1",5,"NA"
"Poritis asteriodes","N1",5,1.262
"Madracis mirabilis","N1",5,1.66
"Aka","N1",5,1.094
"CCA","N1",5,1.19
"Lobophora variegata","N2",5,"NA"
"Dictyota pinnatifida","N2",5,1.445
"Halimeda opuntia","N2",5,1.217
"Turfalgae","N2",5,1.371
"Fluffy balls","N2",5,1.227
"Red hairy","N2",5,1.575
"Black balls","N2",5,1.513
"Brown mat","N2",5,1.38
"Poritis asteriodes","N2",5,1.284
"Madracis mirabilis","N2",5,1.54
"Aka","N2",5,1.091
"CCA","N2",5,1.173
"Lobophora variegata","N3",5,"NA"
"Dictyota pinnatifida","N3",5,1.467
"Halimeda opuntia","N3",5,1.218
"Turfalgae","N3",5,1.351
"Fluffy balls","N3",5,1.303
"Red hairy","N3",5,1.47
"Black balls","N3",5,1.583
"Brown mat","N3",5,1.831
"Poritis asteriodes","N3",5,1.27
"Madracis mirabilis","N3",5,1.522
"Aka","N3",5,1.092
"CCA","N3",5,1.156
"Lobophora variegata","C",5,"NA"
"Dictyota pinnatifida","C",5,1.092
"Halimeda opuntia","C",5,1.086
"Turfalgae","C",5,1.097
"Fluffy balls","C",5,1.09
"Red hairy","C",5,1.088
"Black balls","C",5,1.096
"Brown mat","C",5,1.1
"Poritis asteriodes","C",5,1.086
"Madracis mirabilis","C",5,1.091
"Aka","C",5,1.084
"CCA","C",5,1.092
"Lobophora variegata","N1",5,"NA"
"Dictyota pinnatifida","N1",5,1.461
"Halimeda opuntia","N1",5,1.225
"Turfalgae","N1",5,1.278
"Fluffy balls","N1",5,1.221
"Red hairy","N1",5,1.705
"Black balls","N1",5,1.257
"Brown mat","N1",5,1.723
"Poritis asteriodes","N1",5,1.179
"Madracis mirabilis","N1",5,1.452
"Aka","N1",5,1.088
"CCA","N1",5,1.194
"Lobophora variegata","N2",5,"NA"
"Dictyota pinnatifida","N2",5,1.414
"Halimeda opuntia","N2",5,1.187
"Turfalgae","N2",5,1.279
"Fluffy balls","N2",5,1.282
"Red hairy","N2",5,1.615
"Black balls","N2",5,1.488
"Brown mat","N2",5,1.108
"Poritis asteriodes","N2",5,1.31
"Madracis mirabilis","N2",5,1.518
"Aka","N2",5,1.087
"CCA","N2",5,1.16
"Lobophora variegata","N3",5,"NA"
"Dictyota pinnatifida","N3",5,1.414
"Halimeda opuntia","N3",5,1.219
"Turfalgae","N3",5,1.249
"Fluffy balls","N3",5,1.235
"Red hairy","N3",5,1.929
"Black balls","N3",5,1.735
"Brown mat","N3",5,1.502
"Poritis asteriodes","N3",5,1.216
"Madracis mirabilis","N3",5,1.512
"Aka","N3",5,1.088
"CCA","N3",5,1.171
"Lobophora variegata","C",5,"NA"
"Dictyota pinnatifida","C",5,1.089
"Halimeda opuntia","C",5,1.084
"Turfalgae","C",5,1.093
"Fluffy balls","C",5,1.099
"Red hairy","C",5,1.093
"Black balls","C",5,1.095
"Brown mat","C",5,1.105
"Poritis asteriodes","C",5,1.085
"Madracis mirabilis","C",5,1.088
"Aka","C",5,1.084
"CCA","C",5,1.087
"Lobophora variegata","N1",5,"NA"
"Dictyota pinnatifida","N1",5,1.448
"Halimeda opuntia","N1",5,1.164
"Turfalgae","N1",5,1.227
"Fluffy balls","N1",5,1.354
"Red hairy","N1",5,1.226
"Black balls","N1",5,1.3
"Brown mat","N1",5,1.153
"Poritis asteriodes","N1",5,1.167
"Madracis mirabilis","N1",5,1.519
"Aka","N1",5,1.09
"CCA","N1",5,1.179
"Lobophora variegata","N2",5,"NA"
"Dictyota pinnatifida","N2",5,1.443
"Halimeda opuntia","N2",5,1.192
"Turfalgae","N2",5,1.237
"Fluffy balls","N2",5,1.332
"Red hairy","N2",5,1.628
"Black balls","N2",5,1.218
"Brown mat","N2",5,1.102
"Poritis asteriodes","N2",5,1.156
"Madracis mirabilis","N2",5,1.753
"Aka","N2",5,1.086
