"Height","Light"
8.4,"Red"
8.4,"Red"
10,"Red"
8.8,"Red"
7.1,"Red"
9.4,"Red"
8.8,"Red"
4.3,"Red"
9,"Red"
8.4,"Red"
7.1,"Red"
9.6,"Red"
9.3,"Red"
8.6,"Red"
6.1,"Red"
8.4,"Red"
10.4,"Red"
8.6,"Green"
5.9,"Green"
4.6,"Green"
9.1,"Green"
9.8,"Green"
10.1,"Green"
6,"Green"
10.4,"Green"
10.8,"Green"
9.6,"Green"
10.5,"Green"
9,"Green"
8.6,"Green"
10.5,"Green"
9.9,"Green"
11.1,"Green"
5.5,"Green"
8.2,"Green"
8.3,"Green"
10,"Green"
8.7,"Green"
9.8,"Green"
9.5,"Green"
11,"Green"
8,"Green"
11.1,"Yellow"
12.2,"Yellow"
9.2,"Yellow"
9.1,"Yellow"
10,"Yellow"
8.2,"Yellow"
9.6,"Yellow"
11,"Yellow"
10.2,"Yellow"
8.5,"Yellow"
11.3,"Yellow"
11.9,"Yellow"
10.3,"Yellow"
13,"Yellow"
8.9,"Yellow"
9.3,"Yellow"
