	"N"	"NNE"	"NE"	"ENE"	"E"	"ESE"	"SE"	"SSE"	"S"	"SSW"	"SW"	"WSW"	"W"	"WNW"	"NW"	"NNW"
"0-0.25"	0.51	0.59	0.65	1.14	1.63	1.11	0.82	0.8	0.51	0.59	0.92	1.26	1.21	0.9	0.75	0.71
"0.25-0.5"	0.62	0.47	0.71	1.45	1.95	1.78	1.19	1.03	0.97	1.09	1.38	1.9	2.04	1.38	0.92	0.95
"0.5-0.75"	0.59	0.52	0.47	1.05	1.71	1.39	0.96	0.9	0.93	1.05	1.48	2.15	2.17	1.38	0.71	0.71
"0.75-1.0"	0.38	0.43	0.43	0.9	1.4	1.26	0.54	0.6	0.63	0.78	1.5	2.05	2.13	1.42	0.6	0.46
"1.0-1.25"	0.22	0.18	0.38	0.63	1.02	0.96	0.44	0.23	0.24	0.44	1.26	2.01	1.96	1.01	0.55	0.34
"1.25-1.5"	0.18	0.17	0.25	0.76	0.82	0.55	0.2	0.08	0.06	0.18	0.96	1.96	1.61	0.78	0.3	0.18
"1.5-1.75"	0.11	0.1	0.2	0.52	0.56	0.25	0.08	0.02	0.01	0.04	0.4	1.26	0.88	0.51	0.13	0.1
"1.75-2.0"	0.09	0.06	0.16	0.43	0.27	0.08	0.01	0	0	0.02	0.17	0.8	0.63	0.4	0.11	0.1
"2.0-2.25"	0.04	0.01	0.07	0.21	0.13	0.02	0	0	0	0.01	0.07	0.44	0.33	0.25	0.06	0.11
"2.25-2.5"	0.01	0	0.03	0.08	0.13	0	0	0	0	0	0.02	0.19	0.08	0.09	0.02	0.03
"2.5-2.75"	0	0	0.01	0.06	0.03	0	0	0	0	0.01	0.01	0.07	0.06	0.02	0.01	0
"2.75-3.0"	0	0	0.02	0.04	0.01	0	0	0	0	0	0	0.04	0.02	0.02	0	0
"3.0-3.25"	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0.03	0	0.01	0
"3.25-3.5"	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0
"3.5-3.75"	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0
"3.75-4.0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
