"species","length","weight","stomach weight"
"cod",450,894,6.37
"cod",435,834,0.07
"cod",380,554,0.81
"cod",300,220,0.99
"cod",345,386,3.46
"cod",315,318,0
"cod",270,176,0.39
"cod",310,314,0.07
"cod",350,408,0
"cod",320,308,1.8
"cod",250,146,0.59
"cod",530,1756,68.32
"cod",280,214,0.86
"cod",320,312,2.49
"cod",390,556,0
"cod",160,36,0.47
"cod",290,236,1.47
"cod",380,544,0.18
"cod",290,242,0.9
"cod",390,530,9.03
"cod",235,110,1.13
"cod",365,438,0.05
"cod",300,274,1.11
"cod",350,396,0.35
"cod",175,44,0
"cod",415,680,0.71
"cod",250,144,0.33
"cod",175,44,0.35
"cod",385,674,43.31
"cod",355,380,1.19
"cod",275,192,1.44
"cod",375,458,0.81
"cod",215,94,0.35
"cod",405,634,0.27
"cod",405,670,25.82
"cod",410,704,30.6
"cod",530,1772,41.03
"cod",455,1000,1.27
"cod",500,898,20.54
"cod",560,1822,33.76
"cod",420,736,0
"cod",430,734,0.28
"cod",400,654,1.35
"cod",405,644,2.47
"cod",390,600,0.81
"cod",375,498,0.43
"cod",380,452,"NA"
"cod",285,218,1.12
"cod",100,8,0.13
"cod",470,1084,12.59
"cod",405,726,0.11
"cod",365,532,0.02
"cod",330,405,1.57
"cod",355,416,0.04
"cod",365,474,0.03
