"species","length","weight","age"
"pike-perch",405,590,"2"
"pike-perch",425,800,"3"
"pike-perch",410,590,"3"
"pike-perch",420,730,"3"
"pike-perch",390,470,"2"
"pike-perch",385,470,"2"
"pike-perch",405,580,"3"
"pike-perch",400,520,"2"
"pike-perch",380,520,"3"
"pike-perch",380,480,"1"
"pike-perch",385,500,"2"
"pike-perch",410,600,"2"
"pike-perch",405,580,"2"
"pike-perch",425,680,"3"
"pike-perch",410,540,"2"
"pike-perch",390,490,"3"
"pike-perch",400,550,"2"
"pike-perch",390,520,"2"
"pike-perch",400,570,"2"
"pike-perch",420,750,"2"
"pike-perch",380,520,"2"
"pike-perch",385,510,"2"
"pike-perch",405,600,"3"
"pike-perch",410,630,"2"
"pike-perch",410,580,"2"
"pike-perch",415,650,"2"
"pike-perch",400,560,"2"
"pike-perch",395,550,"2"
"pike-perch",385,490,"2"
"pike-perch",415,610,"2"
"pike-perch",395,530,"2"
"pike-perch",395,520,"2"
"pike-perch",385,500,"3"
"pike-perch",410,520,"3"
"pike-perch",410,570,"2"
"pike-perch",385,520,"2"
"pike-perch",385,500,"2"
"pike-perch",390,540,"2"
"pike-perch",375,490,"2"
"pike-perch",385,530,"3"
"pike-perch",410,640,"3"
"pike-perch",405,600,"2"
"pike-perch",400,610,"2"
"pike-perch",420,740,"3"
"pike-perch",395,540,"2"
"pike-perch",395,530,"3"
"pike-perch",405,580,"2"
"pike-perch",395,540,"2"
"pike-perch",415,710,"2"
"pike-perch",425,630,"3"
"pike-perch",425,670,"3"
"pike-perch",395,560,"3"
"pike-perch",390,500,"2"
"pike-perch",385,510,"2"
"pike-perch",395,570,"2"
"pike-perch",410,590,"2"
"pike-perch",420,690,"3"
"pike-perch",400,620,"2"
"pike-perch",385,510,"2"
"pike-perch",420,680,"3"
"pike-perch",395,560,"3"
"pike-perch",395,570,"2"
"pike-perch",420,620,"2"
"pike-perch",405,600,"3"
"pike-perch",390,480,"2"
"pike-perch",395,510,"2"
"pike-perch",395,540,"2"
"pike-perch",400,570,"2"
"pike-perch",580,2100,"5"
"pike-perch",530,1470,"5"
"pike-perch",390,520,"2"
"pike-perch",390,530,"3"
"pike-perch",415,680,"3"
"pike-perch",390,490,"3"
"pike-perch",420,680,"3"
"pike-perch",505,1200,"4"
"pike-perch",395,550,"3"
"pike-perch",420,690,"2"
"pike-perch",405,600,"3"
"pike-perch",425,760,"3"
"pike-perch",410,600,"3"
"pike-perch",410,660,"3"
"pike-perch",400,600,"3"
"pike-perch",425,610,"3"
"pike-perch",390,590,"2"
"pike-perch",425,630,"3"
"pike-perch",410,590,"2"
"pike-perch",400,570,"2"
"pike-perch",400,610,"2"
"pike-perch",410,610,"2"
"pike-perch",450,750,"3"
"pike-perch",400,590,"2"
"pike-perch",405,600,"2"
"pike-perch",415,630,"3"
"pike-perch",395,550,"3"
"pike-perch",400,550,"3"
"pike-perch",395,500,"2"
"pike-perch",400,590,"3"
"pike-perch",400,570,"3"
